,User,Country,What is stopping you from making a booking?,Hotel,Date,Day,Hour
30,288e43ae,India,we are looking for a one bedrrom apartartment which is not showing,ASIN,2023-07-25,Tuesday,02:00:00 AM
31,776f0eca,Afghanistan,THE PRICE.,ASIN,2023-07-24,Monday,03:00:00 PM
32,eae1017a,China,7-28到7-30,ASIN,2023-07-24,Monday,02:00:00 AM
33,61645830,Hong Kong,do you have senior citizen discount?,ASIN,2023-07-16,Sunday,02:00:00 PM
34,db6104b5,Singapore,Hi.. May I know If want to add on breakfast how much per person?,ASIN,2023-07-14,Friday,07:00:00 AM
35,6179ae05,Ivory Coast,expensive & price increase,ASIN,2023-07-13,Thursday,03:00:00 PM
36,4874da1a,Canada,Rate appeared to have gone up. Yesterday it was $1265.28 for 5 nights.,ASIN,2023-07-12,Wednesday,06:00:00 PM
37,47b5853f,India,"I WANT TO PRE PAY , BUT IT SAYS PAY AT HOTEL",ASIN,2023-07-12,Wednesday,05:00:00 PM
38,392ddd94,Australia,I'm not a member,ASIN,2023-07-04,Tuesday,09:00:00 AM
39,5172dc48,Canada,website is lagging,ASIN,2023-07-01,Saturday,06:00:00 PM
40,0ad68f06,South Korea,can we find more reasonable price?,ASIN,2023-06-30,Friday,03:00:00 AM
41,44c19879,Singapore,I am not sure of my username,ASIN,2023-06-30,Friday,03:00:00 AM
42,a912f61a,Japan,"is there a ""deluxe room"" ?",ASIN,2023-06-28,Wednesday,12:00:00 AM
43,e553e955,United Kingdom,What the difference between a Premium exec and an exec room?,ASIN,2023-06-27,Tuesday,03:00:00 PM
44,81e031cb,Australia,Do you have a bus transfer to the airport as I have a early flight,ASIN,2023-06-27,Tuesday,03:00:00 AM
45,ed3e0355,United States,I looking to check in on July 28 and Check out on July 30 but it doesn't allow me,ASIN,2023-06-25,Sunday,01:00:00 AM
46,43fb8af6,Singapore,"Hi Amara, I would like to make an equiry",ASIN,2023-06-24,Saturday,09:00:00 AM
47,fcb79def,Australia,"no photos of the bathroom, i am mobility impaired and need to see the bathroom so I am no disappointed when I arrive and unable to use the bathroom.",ASIN,2023-06-24,Saturday,08:00:00 AM
48,ef7d2b7d,Singapore,price and room upgrade,ASIN,2023-06-23,Friday,02:00:00 AM
49,e54cd326,Germany,Is there a single room available from 27 July to 30 July 2023?,ASIN,2023-06-22,Thursday,07:00:00 PM
50,e858d9b9,Australia,"hi there, do all room bookings include breakfast?",ASIN,2023-06-22,Thursday,12:00:00 AM
51,fbae5c6f,Canada,the room I'm interested in is not showing up. One bedroom apartment?,ASIN,2023-06-21,Wednesday,05:00:00 PM
52,010ee618,France,I would like to book two rooms with different check-out dates,ASIN,2023-06-17,Saturday,02:00:00 PM
53,1cf8c116,New Zealand,you,ASIN,2023-06-16,Friday,10:00:00 PM
54,946fdf3a,Singapore,Hi Please return my call at 96800746,ASIN,2023-06-16,Friday,10:00:00 AM
55,d4f980a0,New Zealand,"There are no proper photos of the bathrooms.  Can you tell me if the toilets are floor pedestal style, or are they wall hung?",ASIN,2023-06-16,Friday,06:00:00 AM
56,c12534c8,Singapore,i need peony jade telephone number,ASIN,2023-06-16,Friday,02:00:00 AM
57,71df3ed6,Malaysia,"I am interested in a Two Bedroom Apartment, check in 29 June and check out 4 July 2023.",ASIN,2023-06-15,Thursday,03:00:00 PM
58,46788877,Japan,cost,ASIN,2023-06-15,Thursday,09:00:00 AM
59,19ac1116,South Korea,I made a booking from Agoda and i have chosen wrong dates. Would appreciate if you could kindly accept my request to cancel the rooms so that i could renew my dates.,ASIN,2023-06-13,Tuesday,08:00:00 AM
60,5f369d5b,Indonesia,the price. Do you have a discount code,ASIN,2023-06-12,Monday,05:00:00 AM
61,9cd7c1c6,New Zealand,Price,ASIN,2023-06-09,Friday,07:00:00 AM
62,2edeb908,India,guest from 6 to 9th july,ASIN,2023-06-07,Wednesday,04:00:00 AM
63,16a91d84,Japan,CANNOT SEE THE RATE ON THE WEBSITE,ASIN,2023-06-06,Tuesday,07:00:00 AM
64,f33cdf10,Japan,"we are three persons.
Are there 3 beds in this room?",ASIN,2023-06-03,Saturday,04:00:00 AM
65,9a4fbe1f,Seychelles,when we book two rooms can we book adjoining rooms,ASIN,2023-05-31,Wednesday,02:00:00 PM
66,5357448f,United Kingdom,can I book without becoming a member?,ASIN,2023-05-31,Wednesday,09:00:00 AM
67,eb620775,Australia,what will be best cost for members for 5 nights (02 sept - 07 sept) 2 adults,ASIN,2023-05-31,Wednesday,03:00:00 AM
68,49522150,United States,"booking was made. please send confirmation email

#76623SE036173",ASIN,2023-05-30,Tuesday,04:00:00 PM
69,fc0075fb,United Kingdom,non refundable,ASIN,2023-05-30,Tuesday,11:00:00 AM
70,446a93a7,France,connecting room,ASIN,2023-05-29,Monday,06:00:00 PM
71,88c6dd5d,Angola,can the rooms be connected or next to each other?,ASIN,2023-05-27,Saturday,08:00:00 AM
72,9306d3a5,Japan,不明です。,ASIN,2023-05-24,Wednesday,05:00:00 AM
73,d82e9331,New Zealand,hi there,ASIN,2023-05-22,Monday,11:00:00 PM
74,c1c99835,Australia,what is my membership number?,ASIN,2023-05-22,Monday,02:00:00 AM
75,f059dcd8,Taiwan,"Hello  Amara Singapore:
I come from Taiwan.
I am planning to book hotel between 9/8-9/14,but if I choose 2 adult and 2 child(4 years old and 6 years old),the website display the room is unavailable,can I book from email?thanks.(benshan308@gmail.com)",ASIN,2023-05-18,Thursday,07:00:00 AM
76,072770b2,Germany,The room type that I'm interested in (Premium Executive) suddenly became unavailable for my preferred dates.,ASIN,2023-05-11,Thursday,08:00:00 PM
77,0635a9b1,South Korea,"Between 15 and 20 of May, no rooms are available?",ASIN,2023-05-11,Thursday,09:00:00 AM
78,96f93928,Singapore,cost,ASIN,2023-05-11,Thursday,05:00:00 AM
79,0d8ca643,Vietnam,your rates,ASIN,2023-05-10,Wednesday,06:00:00 AM
80,dc7a7be5,South Korea,Just clarifying charges for children in the deluxe room,ASIN,2023-05-07,Sunday,04:00:00 PM
81,277829ca,Norway,to early,ASIN,2023-05-04,Thursday,07:00:00 PM
82,436fb212,Australia,checking flight details.,ASIN,2023-05-03,Wednesday,05:00:00 AM
83,b859e31a,Indonesia,i have not received confirmation email from the hotel after making reservation last night,ASIN,2023-05-03,Wednesday,02:00:00 AM
84,48725a5c,Singapore,looking for late check out,ASIN,2023-05-02,Tuesday,10:00:00 AM
85,f31f693f,Spain,check in time,ASIN,2023-04-29,Saturday,02:00:00 PM
86,93167a42,Australia,can anyone call me for reservation,ASIN,2023-04-29,Saturday,04:00:00 AM
87,9e7a074e,Germany,"Hi, i am looking for a remark for early check in. i will arrive from Europe 12.05. / 07:00 am and wonder if i can get any early check in to refresh up-front meetings",ASIN,2023-04-26,Wednesday,11:00:00 AM
88,e8b0cb99,Hong Kong,too expensive,ASIN,2023-04-26,Wednesday,07:00:00 AM
89,1e8bb885,United States,Price,ASIN,2023-04-26,Wednesday,07:00:00 AM
90,99242ce5,Singapore,price is too high,ASIN,2023-04-24,Monday,12:00:00 PM
91,e6f18a8e,Singapore,"When I book a room, I put credit card infromation in payment informaion, but I want to change to different card(payment card) when I arrive to the front. is it ok?",ASIN,2023-04-24,Monday,04:00:00 AM
92,b57e6b59,Philippines,with breakfast,ASIN,2023-04-20,Thursday,07:00:00 AM
93,02fb9c98,Australia,Can't find the price for a suite or 1 bedroom,ASIN,2023-04-19,Wednesday,11:00:00 AM
94,295fcdd1,United States,"For Two-bedroom Apartment
Advance Purchase With Breakfast is good for 6 people at the breakfast buffet?",ASIN,2023-04-17,Monday,11:00:00 PM
95,e86d874d,Singapore,I don't know what means weekend staycation with free breakfast member only,ASIN,2023-04-17,Monday,12:00:00 PM
96,fe4285c5,Singapore,breakfast,ASIN,2023-04-17,Monday,05:00:00 AM
97,4c42b3c4,India,Need early checin,ASIN,2023-04-16,Sunday,10:00:00 AM
98,95521917,American Samoa,Going to log in and book fro my account soon,ASIN,2023-04-15,Saturday,02:00:00 AM
99,306b4450,Australia,I dont want to open an account.,ASIN,2023-04-13,Thursday,10:00:00 AM
100,8e43fd63,Singapore,hi does breakfast included?,ASIN,2023-04-13,Thursday,06:00:00 AM
101,1f919f19,New Zealand,I need guaranteed interconnecting rooms,ASIN,2023-04-12,Wednesday,01:00:00 AM
102,f89e6915,Malaysia,looking at the rooms,ASIN,2023-04-07,Friday,04:00:00 AM
103,36eb67b1,Mexico,language,ASIN,2023-04-04,Tuesday,02:00:00 PM
104,cde7d1ab,Japan,still somoking room available?,ASIN,2023-04-03,Monday,02:00:00 AM
105,efc66874,Australia,i'd like to know what the view is from the Premium Executive Rooms,ASIN,2023-04-02,Sunday,10:00:00 AM
106,4da5760c,Singapore,bad review,ASIN,2023-03-31,Friday,08:00:00 AM
107,8ddcc05f,Singapore,help,ASIN,2023-03-31,Friday,08:00:00 AM
108,c977d2d0,Australia,i am looking for a better deal,ASIN,2023-03-30,Thursday,05:00:00 AM
109,fee4dd51,Germany,where can i find late check out,ASIN,2023-03-29,Wednesday,01:00:00 PM
110,6983d0fd,Canada,price and free breakfast,ASIN,2023-03-28,Tuesday,01:00:00 PM
111,7397ddbf,United States,Frustrated that a 13 year old is considered an adult? Seems weird,ASIN,2023-03-21,Tuesday,11:00:00 PM
112,05907b61,Greece,cheaper price in booking.com,ASIN,2023-03-21,Tuesday,09:00:00 PM
113,36131efd,Afghanistan,Am I allowed to choose between king size bed or 2 twin beds?,ASRS,2023-09-27,Wednesday,02:00:00 AM
114,d9f63b4c,Singapore,PRICE,ASRS,2023-09-20,Wednesday,05:00:00 AM
115,b027fe0f,Singapore,are all rooms pet friendly,ASRS,2023-09-18,Monday,09:00:00 AM
116,0a6c27b8,Singapore,can't book from 29th Dec to 1st January 2024,ASRS,2023-09-17,Sunday,08:00:00 AM
117,8567fece,Singapore,I can't click through without selecting 'Pampered Meow 2.0',ASRS,2023-09-16,Saturday,08:00:00 AM
118,61e40edf,Singapore,"Hi there, are there specific rooms for booking if I bring my dog in to stay at the hotel?",ASRS,2023-09-15,Friday,06:00:00 AM
119,56845c6f,Singapore,price,ASRS,2023-09-14,Thursday,05:00:00 AM
120,45c07e12,India,Extremely unsatisfactory and pathetic customer service on-call. The person working the desk could not provide any proper info when I called the given number for enquiry.,ASRS,2023-09-13,Wednesday,11:00:00 AM
121,7e882840,India,want top speak with resort support team before I book.,ASRS,2023-09-13,Wednesday,10:00:00 AM
122,e6a689ec,Singapore,Day use,ASRS,2023-09-11,Monday,08:00:00 AM
123,be8d8e20,Singapore,Your price is inconsistent,ASRS,2023-09-10,Sunday,01:00:00 PM
124,24f36563,Australia,"i want a family style room for 3, our child is 10 years old.",ASRS,2023-09-10,Sunday,11:00:00 AM
125,7c309c27,Singapore,price,ASRS,2023-09-08,Friday,08:00:00 AM
126,f36410b7,Australia,free cancellation,ASRS,2023-09-08,Friday,07:00:00 AM
127,30d69000,Singapore,how to reset password,ASRS,2023-09-07,Thursday,05:00:00 AM
128,8ec3d63d,Singapore,Am looking at other options.,ASRS,2023-09-06,Wednesday,03:00:00 AM
129,00000000,Singapore,the date that I want is unavailable,ASRS,2023-09-06,Wednesday,01:00:00 AM
130,02a767d7,South Korea,Room Charge is expensive.,ASRS,2023-09-05,Tuesday,11:00:00 AM
131,53a9288d,Singapore,Any special discount for member's birthday?,ASRS,2023-09-05,Tuesday,02:00:00 AM
132,00000000,Singapore,I need to bring my dog but I dont see any promo for that ?,ASRS,2023-09-02,Saturday,02:00:00 AM
133,00000000,United Kingdom,high prices,ASRS,2023-09-01,Friday,05:00:00 PM
134,00000000,Malaysia,the price is a bit more than we were looking for,ASRS,2023-08-31,Thursday,08:00:00 AM
135,3f314311,South Korea,Price,ASRS,2023-08-30,Wednesday,06:00:00 AM
136,3a5ecc5e,Singapore,price,ASRS,2023-08-29,Tuesday,03:00:00 AM
137,36b2324d,Singapore,i have a pet,ASRS,2023-08-29,Tuesday,01:00:00 AM
138,51c667d8,Singapore,price,ASRS,2023-08-25,Friday,06:00:00 AM
139,7d92ccf9,Singapore,bathtub,ASRS,2023-08-24,Thursday,07:00:00 AM
140,94f46d87,Vietnam,alo,ASRS,2023-08-23,Wednesday,02:00:00 AM
141,cbc7e2c5,Singapore,price,ASRS,2023-08-22,Tuesday,07:00:00 AM
142,47eea499,Singapore,Not sure if you would have a bed to sleep 2 adults and a separate bed for 1 child 9 years old. We do not want the child to share the same bed with parents. Thanks,ASRS,2023-08-22,Tuesday,07:00:00 AM
143,7d11b1a5,India,cost,ASRS,2023-08-19,Saturday,09:00:00 AM
144,df28cff6,Singapore,Still reviewing and whether there is a kitchen?,ASRS,2023-08-17,Thursday,12:00:00 PM
145,fec7afa1,Singapore,price! is there any discount code?,ASRS,2023-08-17,Thursday,07:00:00 AM
146,e5651e10,Singapore,too expensive. I need a promo code,ASRS,2023-08-15,Tuesday,02:00:00 PM
147,d6ffe4c9,Singapore,"Hi, I would like to ask if the Couple Suite with Pool access is pet-friendly?",ASRS,2023-08-15,Tuesday,02:00:00 AM
148,22cffc76,Singapore,trying to find package for staycation with spa for couples,ASRS,2023-08-14,Monday,12:00:00 PM
149,ecc699fc,Singapore,"Hi, I am considering to make a reservation for my friend as a gift. So for the contact info - Am I supposed to key in my friend's details or my details? Also will there be credit card reservation upon guest check-in, as I would be the one paying for the booking.",ASRS,2023-08-14,Monday,06:00:00 AM
150,24aad239,Singapore,is parking available?,ASRS,2023-08-08,Tuesday,03:00:00 AM
151,cd1c57ea,Australia,Cost,ASRS,2023-08-07,Monday,10:00:00 AM
152,6d3a9c33,New Zealand,site does not allow me to enter check out date,ASRS,2023-08-04,Friday,01:00:00 AM
153,fcb79def,Australia,"there is nothing about accessibility, eg stairs to the pool/dining areas. Is the pool accessible to someone with bad knees etc. we can't climb a ladder.",ASRS,2023-07-31,Monday,12:00:00 PM
154,bd6012e8,Singapore,comparing price,ASRS,2023-07-31,Monday,08:00:00 AM
155,fa69785b,Singapore,looking for day use,ASRS,2023-07-27,Thursday,01:00:00 PM
156,f736e6a5,Hong Kong,"i need one bedroom villa, seems like dont have",ASRS,2023-07-26,Wednesday,03:00:00 AM
157,c6123abb,Singapore,does it come with complimentary parking,ASRS,2023-07-26,Wednesday,02:00:00 AM
158,280822f9,Singapore,dog friendly room,ASRS,2023-07-25,Tuesday,08:00:00 AM
159,0fee5583,Singapore,"Hi, I am looking to book few rooms, do you have any offer with discounted price and free cancellation?",ASRS,2023-07-24,Monday,10:00:00 AM
160,d12313a2,Australia,I cant sign into the member program,ASRS,2023-07-23,Sunday,03:00:00 AM
161,be52a649,India,The price is too high and far from city,ASRS,2023-07-22,Saturday,02:00:00 PM
162,45c5c968,Australia,5 people one bed hello,ASRS,2023-07-21,Friday,07:00:00 AM
163,a22f268e,Singapore,Price,ASRS,2023-07-15,Saturday,06:00:00 AM
164,d035cd19,Singapore,How do I use the Special offer code from MOE,ASRS,2023-07-14,Friday,06:00:00 PM
165,1e5d334a,United States,i dont' want to be a member,ASRS,2023-07-14,Friday,04:00:00 PM
166,b2837b28,Singapore,booking using corporates rate,ASRS,2023-07-14,Friday,02:00:00 AM
167,b9df808e,Singapore,I am to know whether I can bring my dog in,ASRS,2023-07-13,Thursday,06:00:00 AM
168,def3612d,United States,waiting for email reply,ASRS,2023-07-13,Thursday,06:00:00 AM
169,ea710d9f,Singapore,expensive,ASRS,2023-07-13,Thursday,04:00:00 AM
170,580984ec,Singapore,Price,ASRS,2023-07-12,Wednesday,10:00:00 AM
171,6bc62f27,Singapore,price,ASRS,2023-07-12,Wednesday,07:00:00 AM
172,86686e2e,Singapore,Rates high,ASRS,2023-07-11,Tuesday,04:00:00 AM
173,b2432b35,Singapore,Expensive,ASRS,2023-07-10,Monday,09:00:00 AM
174,cdb7ac67,Singapore,"hi i would iike to book a room with a pet, what room should i choose

pet is a shiba inu, 10kg",ASRS,2023-07-07,Friday,04:00:00 AM
175,f9347b70,Singapore,special offer for family with kids,ASRS,2023-07-06,Thursday,09:00:00 AM
176,236022e2,Singapore,how many sofa are there at Family Suite?,ASRS,2023-07-06,Thursday,06:00:00 AM
177,5054d3c7,Thailand,Price,ASRS,2023-07-06,Thursday,04:00:00 AM
178,fe1b65e8,Australia,Waiting on response to an email that I can maintain the same room across 2 bookings,ASRS,2023-07-04,Tuesday,03:00:00 AM
179,6a4d625b,New Zealand,"I am looking for 1 bedroom, 2 adults and 2 13 year old children - twins",ASRS,2023-07-02,Sunday,07:00:00 AM
180,b005dbfd,Singapore,where is the promo for romantic escapade? cant seem to find it,ASRS,2023-06-30,Friday,08:00:00 AM
181,51461b1d,United Kingdom,"lack of options for a childs bed in the room, we need a bed, not a cot",ASRS,2023-06-27,Tuesday,11:00:00 AM
182,08a69c8a,New Zealand,signing up,ASRS,2023-06-23,Friday,04:00:00 AM
183,4e47edc2,Czechia,"how much are taxes and charges on top of the rate?
and breakfast?",ASRS,2023-06-17,Saturday,07:00:00 PM
184,ccbd767e,Singapore,expensive,ASRS,2023-06-16,Friday,10:00:00 AM
185,3f98eb99,Singapore,Wondering if corporate rates is cheaper than member rates,ASRS,2023-06-15,Thursday,03:00:00 AM
186,9e5f05cc,United States,i need to rooms but they dont have options,ASRS,2023-06-14,Wednesday,04:00:00 AM
187,653769ea,United Kingdom,price,ASRS,2023-06-13,Tuesday,12:00:00 PM
188,ccf4f183,South Korea,is there connecting room?,ASRS,2023-06-13,Tuesday,05:00:00 AM
189,e505c1e0,Singapore,price increase,ASRS,2023-06-12,Monday,01:00:00 PM
190,1e4dcc41,Singapore,is rabbit allow?,ASRS,2023-06-11,Sunday,11:00:00 AM
191,b624bee9,Taiwan,I'm finding special codes,ASRS,2023-06-09,Friday,08:00:00 AM
192,af58c679,Singapore,breakfast,ASRS,2023-06-08,Thursday,02:00:00 AM
193,52dd0423,United States,"Cancel Policy
Non Refundable and Non Cancellation.",ASRS,2023-06-05,Monday,04:00:00 AM
194,c1d09194,South Korea,Hi there,ASRS,2023-06-05,Monday,03:00:00 AM
195,17454bae,Singapore,my wallet,ASRS,2023-06-01,Thursday,02:00:00 PM
196,f4d35c9a,Japan,Capacity 4 ?,ASRS,2023-06-01,Thursday,08:00:00 AM
197,52e98b5a,Singapore,want to book 1 night but cannot,ASRS,2023-06-01,Thursday,06:00:00 AM
198,3a722b5d,Nepal,is there a room with a 1 and a half bathroom?,ASRS,2023-05-31,Wednesday,08:00:00 PM
199,f18997fb,Singapore,this fucking dialog box asshole,ASRS,2023-05-31,Wednesday,05:00:00 AM
200,56e5d6e9,Singapore,expensive!!!,ASRS,2023-05-29,Monday,08:00:00 AM
201,c8e61544,Singapore,can i see the private pool?,ASRS,2023-05-22,Monday,07:00:00 AM
202,fb33d101,Singapore,Which room to book if I have pet?,ASRS,2023-05-20,Saturday,05:00:00 AM
203,f899021f,Singapore,Can I swim with my dog?,ASRS,2023-05-19,Friday,02:00:00 AM
204,aec3616a,Singapore,u are fully booked thru out,ASRS,2023-05-18,Thursday,04:00:00 AM
205,8b5b6b22,Australia,price,ASRS,2023-05-14,Sunday,03:00:00 PM
206,3f4c6de2,Singapore,can i check is there still any room for booking,ASRS,2023-05-12,Friday,01:00:00 AM
207,f55ea56f,Singapore,room type not available,ASRS,2023-05-11,Thursday,04:00:00 PM
208,ea589f40,Singapore,may you help me source the best promo code for the stay,ASRS,2023-05-09,Tuesday,06:00:00 AM
209,8103d193,Singapore,can the one bedroom villa accommodate dog?,ASRS,2023-05-04,Thursday,04:00:00 PM
210,c2873d70,Singapore,lack of money,ASRS,2023-05-04,Thursday,08:00:00 AM
211,4150e7ca,Singapore,"hello, can check if this is for 2 pax only? what if I have additional child?",ASRS,2023-05-03,Wednesday,11:00:00 AM
212,8306809d,Singapore,"Hello, can you do the Verandah Suite, Courtyard Suite and Couple Suite with pool access with 2 x twin beds instead of 1 x King Bed",ASRS,2023-05-01,Monday,03:00:00 AM
213,dcc5d8f4,Singapore,Day stay,ASRS,2023-04-29,Saturday,02:00:00 PM
214,0ddc8358,Singapore,"Hi,",ASRS,2023-04-28,Friday,02:00:00 AM
215,eb4c60a3,Singapore,Hello I have already booked the rooms but haven't received any confirmation via email,ASRS,2023-04-27,Thursday,12:00:00 AM
216,7eb281cc,Singapore,extra charge for 2 dogs,ASRS,2023-04-21,Friday,12:00:00 PM
217,f8000df0,Australia,"Can I please ask, what time do you serve the buffet breakfast?",ASRS,2023-04-20,Thursday,03:00:00 AM
218,e7357fb8,Portugal,"Hello, do you offer discounts for monthly or two-month stays? I'm looking a t a villa to stay with my family for a while in Sentosa.",ASRS,2023-04-19,Wednesday,09:00:00 AM
219,57417a14,Singapore,IS THERE A FRIDGE IN THE ROOM,ASRS,2023-04-18,Tuesday,03:00:00 PM
220,36b404de,Singapore,is there help to organise a birthday party?,ASRS,2023-04-18,Tuesday,03:00:00 PM
221,4a05212c,Singapore,no available rooms on the preferred date,ASRS,2023-04-13,Thursday,07:00:00 AM
222,b2f8f155,Singapore,the trip schedule hasn't finalized,ASRS,2023-04-12,Wednesday,09:00:00 AM
223,1ba83cfa,Singapore,Lack of pictures of the room,ASRS,2023-04-11,Tuesday,03:00:00 AM
224,4b453074,Singapore,price,ASRS,2023-04-09,Sunday,11:00:00 AM
225,dd28ef99,Singapore,member sign in,ASRS,2023-04-09,Sunday,05:00:00 AM
226,903700e7,Singapore,no 4 pax room,ASRS,2023-04-06,Thursday,12:00:00 PM
227,2e6bf9e9,India,we are 2 adults and 2 children,ASRS,2023-04-06,Thursday,07:00:00 AM
228,0f16ac5c,United States,Unsure of what is and is not included in the price,ASRS,2023-04-05,Wednesday,02:00:00 AM
229,cf1f5e52,Japan,"Hi , just want to check if the pool is heated in the Villa?",ASRS,2023-04-03,Monday,07:00:00 PM
230,40c8a2d4,Singapore,bad reviews,ASRS,2023-03-30,Thursday,10:00:00 AM
231,28afb559,Japan,the number of beds,ASRS,2023-03-30,Thursday,09:00:00 AM
232,a70173e5,Singapore,"i have 2 adults 2 children, aged 6 and aged 2",ASRS,2023-03-29,Wednesday,04:00:00 PM
233,90066ba0,Singapore,cant see how the room can sleep 3 or more pax,ASRS,2023-03-28,Tuesday,09:00:00 AM
234,28294706,Afghanistan,does the deluxe room has twin bed available?,ASRS,2023-03-26,Sunday,01:00:00 AM
235,59328404,Singapore,how to add breakfast under member,ASRS,2023-03-23,Thursday,05:00:00 AM
236,05907b61,Greece,wrong room type,ASRS,2023-03-21,Tuesday,09:00:00 PM
237,7397ddbf,United States,cant figure out why a 12 year old is an adult - 12 year olds are still kids....15 years old I can see but not 12,ASRS,2023-03-21,Tuesday,08:00:00 PM
238,f8c390fb,Egypt,the price is much for me,ABKK,2023-09-28,Thursday,09:00:00 PM
239,da3cc747,United Kingdom,Better Deal elsewhere,ABKK,2023-09-26,Tuesday,12:00:00 PM
240,7d255b6f,Thailand,meeting room,ABKK,2023-09-26,Tuesday,06:00:00 AM
241,ce7d8abe,Germany,"I received an email for discounts of up to 15% when booking the hotel. However, I think the prices on check24 are the same.",ABKK,2023-09-24,Sunday,03:00:00 PM
242,3b2459fb,Germany,hi i would like to ask about any discount if we arrive with 10 people and book 5 rooms,ABKK,2023-09-24,Sunday,10:00:00 AM
243,8bccde7d,Spain,Buenos días,ABKK,2023-09-24,Sunday,10:00:00 AM
244,ecdfbb27,Italy,si blocca il sito,ABKK,2023-09-22,Friday,11:00:00 AM
245,91ac9460,Australia,"I have a question,OK?",ABKK,2023-09-21,Thursday,10:00:00 AM
246,9014b3f3,Switzerland,ist breakfast included?,ABKK,2023-09-19,Tuesday,06:00:00 PM
247,bf9f16ab,Germany,expensive,ABKK,2023-09-18,Monday,07:00:00 PM
248,2ab5b3f6,French Polynesia,BREAKFUST IS NOT INCLUDED,ABKK,2023-09-14,Thursday,10:00:00 PM
249,1fdcde9c,Australia,how do I see prices in NZS?,ABKK,2023-09-13,Wednesday,08:00:00 AM
250,270fa0d6,Netherlands,"Looking for a room big enougt to stay with 3 people, I'll travel from Koh Samui on 29 of september to Bangkok and wil check out on 3 oktober early in the morning can you give me a good rate",ABKK,2023-09-12,Tuesday,08:00:00 PM
251,5981401b,United States,I found a cheaper third party rate. Do you price match?,ABKK,2023-09-09,Saturday,04:00:00 PM
252,1e8c2ee6,Poland,"Hi, I have a questuion - when I make a reservation, payment is now or later?",ABKK,2023-09-07,Thursday,03:00:00 PM
